DATE,TIME,TIMESTAMP,DID,MODE,ANGLE
2021-08-29,11:21:51,1630235948,A676521361,MANUAL,-0.0
2021-08-29,11:21:52,1630235948,A676531362,MANUAL,-0.4
2021-08-29,11:21:53,1630235949,A676541363,MANUAL,0.2
2021-08-29,11:21:54,1630235949,A676551364,MANUAL,-0.0
2021-08-29,11:21:56,1630235948,A676561365,MANUAL,1.2
2021-08-29,11:21:57,1630235949,A676571366,MANUAL,0.5
2021-08-29,11:21:58,1630235949,A676581367,MANUAL,-0.1
2021-08-29,11:22:00,1630235950,A676591368,MANUAL,-0.5
2021-08-29,11:22:01,1630235951,A676601369,MANUAL,-0.0
2021-08-29,11:22:03,1630235921,A676611370,MANUAL,0.1
2021-08-29,11:22:04,1630236115,A676621371,MANUAL,-0.3
2021-08-29,11:33:44,1630236815,A675921301,MANUAL,0.0
2021-08-29,11:33:46,1630236816,A675931302,MANUAL,0.0
2021-08-29,11:33:50,1630236820,A675951304,MANUAL,-1.3
2021-08-29,11:33:52,1630236813,A675961305,MANUAL,-0.5
2021-08-29,11:33:53,1630236813,A675971306,MANUAL,-0.1
2021-08-29,11:33:54,1630236814,A675981307,MANUAL,0.1
2021-08-29,11:33:55,1630236814,A675991308,MANUAL,0.0
2021-08-29,11:33:58,1630236816,A676001309,MANUAL,0.2
2021-08-29,11:33:59,1630236815,A676011310,MANUAL,0.2
2021-08-29,11:34:00,1630236816,A676021311,MANUAL,-0.1
2021-08-29,11:34:02,1630236797,A676031312,MANUAL,-0.1
2021-08-29,11:34:04,1630236814,A676041313,MANUAL,0.9
2021-08-29,11:34:05,1630236815,A676051314,MANUAL,-0.0
2021-08-29,11:34:08,1630236806,A676061315,MANUAL,0.2
2021-08-29,11:34:09,1630236807,A676071316,MANUAL,0.0
2021-08-29,11:34:10,1630236808,A676081317,MANUAL,-0.2
2021-08-29,11:34:12,1630236809,A676091318,MANUAL,-0.7
2021-08-29,11:34:13,1630236809,A676101319,MANUAL,0.8
2021-08-29,11:34:14,1630236807,A676111320,MANUAL,0.1
2021-08-29,11:34:16,1630236808,A676121321,MANUAL,-0.1
2021-08-29,11:34:18,1630236722,A676131322,MANUAL,1.9
2021-08-29,11:34:20,1630236808,A676141323,MANUAL,0.0
2021-08-29,11:34:24,1630236812,A676151324,MANUAL,-0.1
2021-08-29,11:34:25,1630236795,A676161325,MANUAL,0.1
2021-08-29,11:34:27,1630236796,A676171326,MANUAL,0.0
2021-08-29,11:34:28,1630236796,A676181327,MANUAL,0.8
2021-08-29,11:34:29,1630236797,A676191328,MANUAL,0.0
2021-08-29,11:34:30,1630236798,A676201329,MANUAL,0.3
2021-08-29,11:34:31,1630236792,A676211330,MANUAL,-0.4
2021-08-29,11:34:32,1630236792,A676221331,MANUAL,0.0
2021-08-29,11:34:34,1630236793,A676231332,MANUAL,-0.0
2021-08-29,11:34:35,1630236793,A676241333,MANUAL,0.0
2021-08-29,11:34:36,1630236794,A676251334,MANUAL,0.6
2021-08-29,11:34:38,1630236791,A676261335,MANUAL,0.7
2021-08-29,11:34:39,1630236791,A676271336,MANUAL,0.2
2021-08-29,11:34:41,1630236792,A676281337,MANUAL,-0.1
2021-08-29,11:34:42,1630236793,A676291338,MANUAL,0.1
2021-08-29,11:34:47,1630236754,A676311340,MANUAL,-0.3
2021-08-29,11:34:48,1630236754,A676321341,MANUAL,0.0
2021-08-29,11:34:49,1630236755,A676331342,MANUAL,0.0
2021-08-29,11:34:51,1630236755,A676341343,MANUAL,0.3
